Tipo;Categoria / Grupo;Nome do Item / Sabor;Descrição;Preço (R$);Disponível;Grupos Vinculados;Foto URL
"PRODUTO";"X - Tradicional gaúcho prensado";"X-Burguer";"Pão, molho caseiro, hambúrguer artesanal 160g, mussarela e presunto.";"22,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463495487blob"
"PRODUTO";"X - Tradicional gaúcho prensado";"X-Calabresa";"Pão, molho caseiro, hambúrguer artesanal 160g, ovo frito, mussarela, presunto, calabresa, alface ,tomate, milho e ervilha";"28,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1778864118866blob"
"PRODUTO";"X - Tradicional gaúcho prensado";"X-Coração";"Pão, molho caseiro, mussarela, presunto, coração 160gr, ovo frito, alface, tomate, milho e ervilha";"35,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737556198750blob"
"PRODUTO";"X - Tradicional gaúcho prensado";"X-Frango";"Pão, molho caseiro, frango desfiado 160gr, ovo frito, mussarela, presunto, alface, tomate, milho e ervilha";"25,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1778863362322blob"
"PRODUTO";"X - Tradicional gaúcho prensado";"X-Italian";"Pão, molho caseiro, hambúrguer artesanal 160g, mussarela, presunto, frango ,coração, calabresa, bacon, ovo, alface ,tomate, milho e ervilha";"42,00";"Sim";"";"https://client-assets.anota.ai/produtos/67606969295af30019b46262/-1734463495487blob"
"PRODUTO";"X - Tradicional gaúcho prensado";"X-Salada";"Pão, molho caseiro, hambúrguer artesanal 160g, ovo frito, mussarela, presunto, alface, tomate, milho e ervilha";"26,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1778863445505blob"
"PRODUTO";"X - Tradicional gaúcho prensado";"X - Alcatra";"Pão, molho caseiro, 160gr de tiras de Alcatra, ovo frito, mussarela, presunto  alface, tomate, milho e ervilha.";"37,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1778864229777blob"
"PRODUTO";"Pastéis";"Pastel 20cm";"";"0,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1748751872370blob"
"PRODUTO";"Porções";"Porção Mista Pequena";"150gr de alcatra, 150gr frango na panko, 150gr Calabresa, 150gr batata frita com bacon e cheddar e 1 pão de hambúrguer com molho da casa e bacon em cubos. ";"105,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747409584233blob"
"PRODUTO";"Porções";"Porção Mista Grande";"300gr de alcatra, 300gr frango na panko, 300gr Calabresa, 250gr batata frita com bacon e cheddar e 1 pão de hambúrguer com molho da casa e bacon em cubos. ";"175,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1747409314531blob"
"PRODUTO";"Porções";"Lula à Dorê 400g";"400g de Lula a Dore";"65,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1737855046623blob"
"PRODUTO";"Porções";"Iscas de Tilápia Empanada no Queijo Parmesão 400g";"";"69,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735931359958blob"
"PRODUTO";"Porções";"Iscas de Tilápia Empanada na Farinha Panko 400g";"";"64,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735931373525blob"
"PRODUTO";"Porções";"Fritas 400g com Queijo Mussarela e Bacon";"";"39,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735931288583blob"
"PRODUTO";"Porções";"Fritas 400g com Bacon e Cheddar";"";"42,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735931328780blob"
"PRODUTO";"Porções";"Fritas 400g";"";"32,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735931338373blob"
"PRODUTO";"Porções";"Fritas 250g com Queijo Mussarela e Bacon";"";"22,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735931306952blob"
"PRODUTO";"Porções";"Fritas 250g com Bacon e Cheddar";"";"24,00";"Sim";"";"https://client-assets.anota.ai/produtos/67521dcc70782200190c87c5/-1735931319861blob"
